timestamp,p1,p2,mode,label
2026-05-20 10:30:23,1,3,0,0
2026-05-20 10:30:27,4,5,0,0
2026-05-20 10:30:28,5,5,0,0
2026-05-20 10:30:28,1,5,0,0
2026-05-20 10:30:29,1,2,0,0
2026-05-20 10:30:29,5,4,0,0
2026-05-20 10:30:29,1,1,0,0
2026-05-20 10:30:30,3,5,0,0
2026-05-20 10:30:30,2,1,0,0
2026-05-20 10:30:31,3,6,0,0
2026-05-20 10:30:31,1,5,0,0
2026-05-20 10:30:31,1,2,0,0
2026-05-20 10:30:31,1,5,0,0
2026-05-20 10:30:32,5,1,0,0
2026-05-20 10:30:32,1,4,0,0
2026-05-20 10:30:32,2,3,0,0
2026-05-20 10:30:32,4,3,0,0
2026-05-20 10:30:32,2,4,0,0
2026-05-20 10:30:32,1,2,0,0
2026-05-20 10:30:33,1,1,0,0
2026-05-20 10:30:33,4,6,0,0
2026-05-20 10:30:33,4,2,0,0
2026-05-20 10:30:33,3,2,0,0
2026-05-20 10:30:33,6,2,0,0
2026-05-20 10:30:33,3,2,0,0
2026-05-20 10:30:34,3,2,0,0
2026-05-20 10:30:34,4,6,0,0
2026-05-20 10:30:34,4,6,0,0
2026-05-20 10:30:34,1,2,0,0
2026-05-20 10:30:34,3,1,0,0
2026-05-20 10:30:34,3,2,0,0
2026-05-20 10:30:34,3,3,0,0
2026-05-20 10:30:35,5,2,0,0
2026-05-20 10:30:35,2,5,0,0
2026-05-20 10:30:35,1,3,0,0
2026-05-20 10:30:35,4,3,0,0
2026-05-20 10:30:35,5,1,0,0
2026-05-20 10:30:35,6,2,0,0
2026-05-20 10:30:36,2,1,0,0
2026-05-20 10:30:36,6,4,0,0
2026-05-20 10:30:36,6,2,0,0
2026-05-20 10:30:36,6,4,0,0
2026-05-20 10:30:36,4,2,0,0
2026-05-20 10:30:37,2,5,0,0
2026-05-20 10:30:37,4,3,0,0
2026-05-20 10:30:37,2,1,0,0
2026-05-20 10:30:37,3,4,0,0
2026-05-20 10:30:37,6,1,0,0
2026-05-20 10:30:37,3,1,0,0
2026-05-20 10:30:38,6,5,0,0
2026-05-20 10:30:38,3,1,0,0
2026-05-20 10:30:38,3,1,0,0
2026-05-20 10:30:38,4,3,0,0
2026-05-20 10:30:38,5,1,0,0
2026-05-20 10:30:38,1,6,0,0
2026-05-20 10:30:39,1,4,0,0
2026-05-20 10:30:39,4,4,0,0
2026-05-20 10:30:39,1,3,0,0
2026-05-20 10:30:39,4,5,0,0
2026-05-20 10:30:39,3,2,0,0
2026-05-20 10:30:39,1,6,0,0
2026-05-20 10:30:40,3,4,0,0
2026-05-20 10:30:40,4,5,0,0
2026-05-20 10:30:40,4,3,0,0
2026-05-20 10:30:40,6,5,0,0
2026-05-20 10:30:40,1,1,0,0
2026-05-20 10:30:41,1,4,0,0
2026-05-20 10:30:41,2,4,0,0
2026-05-20 10:30:41,2,4,0,0
2026-05-20 10:30:41,6,2,0,0
2026-05-20 10:30:41,4,2,0,0
2026-05-20 10:30:41,2,1,0,0
2026-05-20 10:30:41,2,1,0,0
2026-05-20 10:30:42,3,5,0,0
2026-05-20 10:30:42,2,6,0,0
2026-05-20 10:30:42,3,2,0,0
2026-05-20 10:30:42,6,1,0,0
2026-05-20 10:30:42,5,6,0,0
2026-05-20 10:30:43,5,4,0,0
2026-05-20 10:30:43,1,2,0,0
2026-05-20 10:30:43,2,3,0,0
2026-05-20 10:30:43,6,2,0,0
2026-05-20 10:30:43,1,5,0,0
2026-05-20 10:30:43,5,6,0,0
2026-05-20 10:30:44,5,1,0,0
2026-05-20 10:30:44,6,6,0,0
2026-05-20 10:30:44,4,3,0,0
2026-05-20 10:30:44,6,4,0,0
2026-05-20 10:30:44,3,3,0,0
2026-05-20 10:30:44,6,4,0,0
2026-05-20 10:30:45,5,3,0,0
2026-05-20 10:30:45,2,3,0,0
2026-05-20 10:30:45,2,3,0,0
2026-05-20 10:30:45,6,3,0,0
2026-05-20 10:30:45,3,3,0,0
2026-05-20 10:30:45,4,4,0,0
2026-05-20 10:30:45,4,3,0,0
2026-05-20 10:30:46,3,1,0,0
2026-05-20 10:30:46,2,2,0,0
2026-05-20 10:30:46,2,4,0,0
2026-05-20 10:30:46,2,5,0,0
2026-05-20 10:30:46,4,2,0,0
2026-05-20 10:30:46,3,6,0,0
2026-05-20 10:30:47,5,3,0,0
2026-05-20 10:30:47,2,3,0,0
2026-05-20 10:30:47,5,6,0,0
2026-05-20 10:30:49,1,6,0,0
2026-05-20 10:30:49,3,6,0,0
2026-05-20 10:30:49,3,4,0,0
2026-05-20 10:30:50,5,2,0,0
2026-05-20 10:30:50,1,1,0,0
2026-05-20 10:30:50,5,6,0,0
2026-05-20 10:30:50,1,5,0,0
2026-05-20 10:30:50,6,4,0,0
2026-05-20 10:30:51,5,1,0,0
2026-05-20 10:30:51,1,6,0,0
2026-05-20 10:30:51,2,1,0,0
2026-05-20 10:30:51,1,2,0,0
2026-05-20 10:30:51,5,2,0,0
2026-05-20 10:30:52,6,5,0,0
2026-05-20 10:30:52,1,5,0,0
2026-05-20 10:30:52,4,4,0,0
2026-05-20 10:30:52,1,4,0,0
2026-05-20 10:30:52,2,4,0,0
2026-05-20 10:30:52,4,6,0,0
2026-05-20 10:30:52,2,4,0,0
2026-05-20 10:30:53,5,2,0,0
2026-05-20 10:30:53,3,2,0,0
2026-05-20 10:30:53,2,1,0,0
2026-05-20 10:30:53,6,4,0,0
2026-05-20 10:30:53,1,2,0,0
2026-05-20 10:30:53,2,5,0,0
2026-05-20 10:30:54,3,4,0,0
2026-05-20 10:30:54,5,2,0,0
2026-05-20 10:30:54,3,4,0,0
2026-05-20 10:30:54,5,5,0,0
2026-05-20 10:30:54,5,3,0,0
2026-05-20 10:30:54,2,2,0,0
2026-05-20 10:30:55,3,2,0,0
2026-05-20 10:30:55,6,4,0,0
2026-05-20 10:30:55,3,3,0,0
